,INFECTED_HO,QUARANTINED,DECEASED,POSITIVE
337,2740.0,33273.0,8554.0,38191.0
338,2617.0,30944.0,8641.0,35048.0
339,2497.0,29027.0,8700.0,33305.0
340,2402.0,27147.0,8752.0,31973.0
341,2297.0,25761.0,8806.0,30263.0
342,2162.0,24119.0,8852.0,28152.0
343,2103.0,22700.0,8909.0,26745.0
344,2123.0,22010.0,8949.0,26836.0
345,2020.0,20378.0,8999.0,24763.0
346,1890.0,19329.0,9041.0,23714.0
347,1801.0,18219.0,9085.0,22853.0
348,1726.0,17465.0,9128.0,21798.0
349,1619.0,16360.0,9155.0,20478.0
350,1563.0,15482.0,9199.0,19570.0
351,1567.0,15222.0,9239.0,19742.0
352,1482.0,14638.0,9276.0,18470.0
353,1374.0,14156.0,9305.0,17820.0
354,1286.0,13816.0,9343.0,17514.0
355,1180.0,13533.0,9380.0,16920.0
356,1060.0,13003.0,9408.0,15903.0
357,1031.0,12480.0,9435.0,15316.0
358,1026.0,12638.0,9463.0,15743.0
359,947.0,12414.0,9486.0,15082.0
360,872.0,12292.0,9511.0,14825.0
361,776.0,12142.0,9532.0,14721.0
362,694.0,12168.0,9552.0,14459.0
363,593.0,11854.0,9563.0,13991.0
364,558.0,11557.0,9580.0,13556.0
365,536.0,11630.0,9597.0,13863.0
366,461.0,11451.0,9619.0,13469.0
367,373.0,11485.0,9639.0,13481.0
368,294.0,11540.0,9656.0,13597.0
369,218.0,11658.0,9671.0,13543.0
370,130.0,11354.0,9677.0,13409.0
371,101.0,10864.0,9693.0,13180.0
372,82.0,10816.0,9704.0,13969.0
373,23.0,10212.0,9709.0,14110.0
374,1.0,9375.0,9709.0,14459.0
375,0.0,8240.0,9709.0,14782.0
376,0.0,7550.0,9709.0,14900.0
377,0.0,6708.0,9709.0,14795.0
378,0.0,5864.0,9709.0,14599.0
379,0.0,4923.0,9709.0,30384.0
